,set_size,trial_num,method_num,space
640,1000,28,0,32000
641,1000,28,1,19000
642,1000.0,28.0,2.0,16567.25
643,1000.0,28.0,3.0,25723.5
644,1000.0,28.0,4.0,25508.65625
645,1000,29,0,32000
646,1000,29,1,19000
647,1000.0,29.0,2.0,16797.0
648,1000.0,29.0,3.0,25922.0
649,1000.0,29.0,4.0,25750.125
650,1000,30,0,32000
651,1000,30,1,19000
652,1000.0,30.0,2.0,16667.25
653,1000.0,30.0,3.0,25823.5
654,1000.0,30.0,4.0,25608.65625
655,1000,31,0,32000
656,1000,31,1,18000
657,1000.0,31.0,2.0,16717.25
658,1000.0,31.0,3.0,25864.5
659,1000.0,31.0,4.0,25649.65625
660,1000,32,0,32000
661,1000,32,1,19000
662,1000.0,32.0,2.0,16691.25
663,1000.0,32.0,3.0,25829.5
664,1000.0,32.0,4.0,25614.65625
665,1000,33,0,32000
666,1000,33,1,20000
667,1000.0,33.0,2.0,16730.25
668,1000.0,33.0,3.0,25886.5
669,1000.0,33.0,4.0,25671.65625
670,1000,34,0,32000
671,1000,34,1,19000
672,1000.0,34.0,2.0,16609.25
673,1000.0,34.0,3.0,25756.5
674,1000.0,34.0,4.0,25541.65625
675,1000,35,0,32000
676,1000,35,1,19000
677,1000.0,35.0,2.0,16540.0
678,1000.0,35.0,3.0,25647.0
679,1000.0,35.0,4.0,25475.125
680,1000,36,0,32000
681,1000,36,1,21000
682,1000.0,36.0,2.0,16655.25
683,1000.0,36.0,3.0,25793.5
684,1000.0,36.0,4.0,25578.65625
685,1000,37,0,32000
686,1000,37,1,20000
687,1000.0,37.0,2.0,16659.25
688,1000.0,37.0,3.0,25797.5
689,1000.0,37.0,4.0,25582.65625
690,1000,38,0,32000
691,1000,38,1,20000
692,1000.0,38.0,2.0,16499.25
693,1000.0,38.0,3.0,25646.5
694,1000.0,38.0,4.0,25431.65625
695,1000,39,0,32000
696,1000,39,1,19000
697,1000.0,39.0,2.0,16694.25
698,1000.0,39.0,3.0,25832.5
699,1000.0,39.0,4.0,25617.65625
700,1000,40,0,32000
701,1000,40,1,20000
702,1000.0,40.0,2.0,16623.25
703,1000.0,40.0,3.0,25752.5
704,1000.0,40.0,4.0,25537.65625
705,1000,41,0,32000
706,1000,41,1,20000
707,1000.0,41.0,2.0,16708.25
708,1000.0,41.0,3.0,25864.5
709,1000.0,41.0,4.0,25649.65625
710,1000,42,0,32000
711,1000,42,1,21000
712,1000.0,42.0,2.0,16653.25
713,1000.0,42.0,3.0,25791.5
714,1000.0,42.0,4.0,25576.65625
715,1000,43,0,32000
716,1000,43,1,18000
717,1000.0,43.0,2.0,16441.0
718,1000.0,43.0,3.0,25566.0
719,1000.0,43.0,4.0,25394.125
720,1000,44,0,32000
721,1000,44,1,20000
722,1000.0,44.0,2.0,16654.25
723,1000.0,44.0,3.0,25810.5
724,1000.0,44.0,4.0,25595.65625
725,1000,45,0,32000
726,1000,45,1,19000
727,1000.0,45.0,2.0,16684.25
728,1000.0,45.0,3.0,25822.5
729,1000.0,45.0,4.0,25607.65625
730,1000,46,0,32000
731,1000,46,1,21000
732,1000.0,46.0,2.0,16513.25
733,1000.0,46.0,3.0,25651.5
734,1000.0,46.0,4.0,25436.65625
735,1000,47,0,32000
736,1000,47,1,18000
737,1000.0,47.0,2.0,16818.25
738,1000.0,47.0,3.0,25965.5
739,1000.0,47.0,4.0,25750.65625
740,1000,48,0,32000
741,1000,48,1,19000
742,1000.0,48.0,2.0,16662.25
743,1000.0,48.0,3.0,25809.5
744,1000.0,48.0,4.0,25594.65625
745,1000,49,0,32000
746,1000,49,1,20000
747,1000.0,49.0,2.0,16705.25
748,1000.0,49.0,3.0,25852.5
749,1000.0,49.0,4.0,25637.65625
750,1000,50,0,32000
751,1000,50,1,19000
752,1000.0,50.0,2.0,16611.25
753,1000.0,50.0,3.0,25767.5
754,1000.0,50.0,4.0,25552.65625
755,1000,51,0,32000
756,1000,51,1,19000
757,1000.0,51.0,2.0,16680.25
758,1000.0,51.0,3.0,25836.5
759,1000.0,51.0,4.0,25621.65625
760,1000,52,0,32000
761,1000,52,1,18000
762,1000.0,52.0,2.0,16707.25
763,1000.0,52.0,3.0,25863.5
764,1000.0,52.0,4.0,25648.65625
765,1000,53,0,32000
766,1000,53,1,21000
767,1000.0,53.0,2.0,16715.25
768,1000.0,53.0,3.0,25862.5
769,1000.0,53.0,4.0,25647.65625
770,1000,54,0,32000
771,1000,54,1,19000
772,1000.0,54.0,2.0,16652.25
773,1000.0,54.0,3.0,25799.5
774,1000.0,54.0,4.0,25584.65625
775,1000,55,0,32000
776,1000,55,1,20000
777,1000.0,55.0,2.0,16689.25
778,1000.0,55.0,3.0,25836.5
779,1000.0,55.0,4.0,25621.65625
780,1000,56,0,32000
781,1000,56,1,19000
782,1000.0,56.0,2.0,16526.0
783,1000.0,56.0,3.0,25642.0
784,1000.0,56.0,4.0,25470.125
785,1000,57,0,32000
786,1000,57,1,18000
787,1000.0,57.0,2.0,16707.25
788,1000.0,57.0,3.0,25863.5
789,1000.0,57.0,4.0,25648.65625
790,1000,58,0,32000
791,1000,58,1,21000
792,1000.0,58.0,2.0,16726.5
793,1000.0,58.0,3.0,25905.0
794,1000.0,58.0,4.0,25647.1875
795,1000,59,0,32000
796,1000,59,1,18000
797,1000.0,59.0,2.0,16523.25
798,1000.0,59.0,3.0,25679.5
799,1000.0,59.0,4.0,25464.65625
800,1000,60,0,32000
801,1000,60,1,18000
802,1000.0,60.0,2.0,16571.25
803,1000.0,60.0,3.0,25718.5
804,1000.0,60.0,4.0,25503.65625
805,1000,61,0,32000
806,1000,61,1,20000
807,1000.0,61.0,2.0,16729.25
808,1000.0,61.0,3.0,25876.5
809,1000.0,61.0,4.0,25661.65625
810,1000,62,0,32000
811,1000,62,1,19000
812,1000.0,62.0,2.0,16625.25
813,1000.0,62.0,3.0,25754.5
814,1000.0,62.0,4.0,25539.65625
815,1000,63,0,32000
816,1000,63,1,19000
817,1000.0,63.0,2.0,16584.25
818,1000.0,63.0,3.0,25740.5
819,1000.0,63.0,4.0,25525.65625
820,1000,64,0,32000
821,1000,64,1,18000
822,1000.0,64.0,2.0,16743.25
823,1000.0,64.0,3.0,25899.5
824,1000.0,64.0,4.0,25684.65625
825,1000,65,0,32000
826,1000,65,1,19000
827,1000.0,65.0,2.0,16831.25
828,1000.0,65.0,3.0,25960.5
829,1000.0,65.0,4.0,25745.65625
830,1000,66,0,32000
831,1000,66,1,18000
832,1000.0,66.0,2.0,16590.0
833,1000.0,66.0,3.0,25706.0
834,1000.0,66.0,4.0,25534.125
835,1000,67,0,32000
836,1000,67,1,17000
837,1000.0,67.0,2.0,16755.25
838,1000.0,67.0,3.0,25911.5
839,1000.0,67.0,4.0,25696.65625
840,1000,68,0,32000
841,1000,68,1,18000
842,1000.0,68.0,2.0,16570.25
843,1000.0,68.0,3.0,25708.5
